document_index,summarizer,normalizer,rouge_1,rouge_2,rouge_l,time_elapsed
822,freq,raw,0.8356164383561644,0.7972972972972973,0.6551724137931034,0.0
140,freq,raw,0.9310344827586207,0.9111111111111111,0.7131782945736435,0.0
2112,freq,raw,0.6,0.5774647887323944,0.35436893203883496,0.0
618,freq,raw,0.30952380952380953,0.27906976744186046,0.9090909090909091,0.0
154,freq,raw,0.4657534246575342,0.4266666666666667,0.7064220183486238,0.0
517,freq,raw,0.9375,0.9191919191919192,0.6011904761904762,0.0009076595306396484
819,freq,raw,0.569620253164557,0.5443037974683544,0.9259259259259259,0.0
491,freq,raw,0.08045977011494253,0.03333333333333333,0.4782608695652174,0.0
465,freq,raw,0.8395061728395061,0.8192771084337349,0.6068965517241379,0.0
785,freq,raw,0.8421052631578947,0.8133333333333334,0.5422535211267606,0.0
800,freq,raw,0.8354430379746836,0.8024691358024691,0.6102941176470589,0.0009996891021728516
1952,freq,raw,0.5,0.5,0.519774011299435,0.0
538,freq,raw,0.8356164383561644,0.8082191780821918,0.5859375,0.0
1824,freq,raw,0.87,0.8543689320388349,0.37809187279151946,0.0
1938,freq,raw,0.5384615384615384,0.5194805194805194,0.4463276836158192,0.0
608,freq,raw,0.5813953488372093,0.5465116279069767,0.9361702127659575,0.0
2165,freq,raw,0.45918367346938777,0.42,0.7727272727272727,0.0
1078,freq,raw,0.8382352941176471,0.7971014492753623,0.5142857142857142,0.0
1161,freq,raw,0.5081967213114754,0.46153846153846156,0.4785714285714286,0.0
624,freq,raw,0.5866666666666667,0.5454545454545454,0.6475409836065574,0.0
661,freq,raw,0.2631578947368421,0.24675324675324675,0.6752136752136753,0.0
1176,freq,raw,0.9411764705882353,0.926829268292683,0.5102040816326531,0.0
1653,freq,raw,0.4625,0.45,0.8817204301075269,0.0009996891021728516
2129,freq,raw,0.9120879120879121,0.8936170212765957,0.32,0.0
195,freq,raw,0.9264705882352942,0.8805970149253731,0.552,0.0
1316,freq,raw,0.6506024096385542,0.611764705882353,0.898989898989899,0.0
1227,freq,raw,0.8791208791208791,0.8586956521739131,0.5962732919254659,0.0
1435,freq,raw,0.373134328358209,0.3088235294117647,0.7216494845360825,0.0
